2288.src,fclightaware,flightaware
564.actarrtime,10:72 a.m.,10:27 a.m.
88.schedarrtime,:22 p.m.,8:22 p.m.
1787.schedarrtime,10:20 a.lm.,10:20 a.m.
2082.scheddeptime,1:00 p.mm.,1:00 p.m.
1866.actdeptime,6:30p.m.,6:30 p.m.
1377.tupleid,-1460,1377
578.schedarrtime,4:00 .pm.,4:00 p.m.
727.scheddeptime,6:00 a..,6:00 a.m.
1343.actdeptime,42:9 p.m.,4:29 p.m.
1669.flight,CO-2-IAH-LAX,CO-52-IAH-LAX
553.actarrtime,1:1 p.m.,1:19 p.m.
80.tupleid,4.0,80
207.tupleid,3736,207
228.scheddeptime,8:55a.m.,8:55 a.m.
1609.schedarrtime,8:56 .m.,8:56 p.m.
440.schedarrtime,z9:25 a.m.,9:25 a.m.
2211.scheddeptime,7:05 ar.m.,7:05 a.m.
1627.scheddeptime,8:20 .m.,8:20 p.m.
174.actdeptime,2:5 5p.m.,2:55 p.m.
736.tupleid,-1386,736
26.tupleid,6.0,26
775.actarrtime,10:04 a..m,10:04 a.m.
1278.actdeptime,4:15 p..m,4:15 p.m.
127.actarrtime,9:20 pp.m.,9:20 p.m.
582.tupleid,4518,582
645.src,paynj,panynj
40.tupleid,38.0,40
680.actarrtime,7:55 pt.m.,7:55 p.m.
1121.scheddeptime,4:5g5 p.m.,4:55 p.m.
416.scheddeptime,2:3 p.m.,2:30 p.m.
2144.flight,UA-i3099-PHX-PHL,UA-3099-PHX-PHL
1422.scheddeptime,7:10 a..m,7:10 a.m.
47.tupleid,1.0,47
2222.schedarrtime,:24 a.m.,9:24 a.m.
2256.flight,AA-3859-IH-ORD,AA-3859-IAH-ORD
283.schedarrtime,11q:10 a.m.,11:10 a.m.
303.scheddeptime,4:2 5p.m.,4:25 p.m.
776.src,flightxplorer,flightexplorer
1774.schedarrtime,1:16p .m.,1:16 p.m.
1237.flight,UA-2726-FLL-HPL,UA-2726-FLL-PHL
2251.flight,AA-404-MIA-vMCO,AA-404-MIA-MCO
2039.actdeptime,11:e40 a.m.,11:40 a.m.
478.flight,UA-248-PHX-OvRD,UA-248-PHX-ORD
498.scheddeptime,1:55 p.m.,11:55 p.m.
604.src,flihtstats,flightstats
2292.src,fligtaware,flightaware
1218.scheddeptime,3:05 p..m,3:05 p.m.
1395.actdeptime,1:2 p.m.,1:32 p.m.
1588.flight,AA-1733-ORD-PwHX,AA-1733-ORD-PHX
1984.src,allegianteair,allegiantair
1188.actarrtime,1:15 pn.m.,1:15 p.m.
839.actdeptime,11:30 a.m.***,11:30 a.m.
414.scheddeptime,8:20y p.m.,8:20 p.m.
984.schedarrtime,10:35 a..m,10:35 a.m.
2161.scheddeptime,7:45 p.mt.,7:45 p.m.
1574.scheddeptime,1:05 p.mc.,1:05 p.m.
1700.schedarrtime,8v:05 p.m.,8:05 p.m.
115.flight,AA-3823-LAX-DNE,AA-3823-LAX-DEN
426.flight,AA-85-JFK-SOF,AA-85-JFK-SFO
71.flight,AA-3859-IAH-ORD,AA-1886-BOS-MIA
1367.schedarrtime,7:25 pm..,7:25 p.m.
1407.tupleid,3733,1407
541.schedarrtime,11:55 a..m,11:55 a.m.
2340.actarrtime,3:30 pm.,3:30 p.m.
1517.flight,CO-1088-LE-IAH,CO-1088-CLE-IAH
332.actarrtime,2:50 p.m.,12:50 p.m.
1494.actdeptime,3:27 p..m,3:27 p.m.
2253.scheddeptime,6:0u0 a.m.,6:00 a.m.
2206.tupleid,4454,2206
98.flight,AA-3859-IAH-ORD,UA-843-LAX-ORD
1700.scheddeptime,4:55p.m.,4:55 p.m.
1067.scheddeptime,6:45 a..m,6:45 a.m.
57.flight,AA-1640-MIA-MCO,UA-2830-MCO-CLT
2094.src,businesstravelloue,businesstravellogue
1328.flight,UA-3952-IAD-ORF,UA-3925-IAD-ORF
1663.actarrtime,9:8 a.m.,9:28 a.m.
1168.flight,AA-380-PHX-LAX,AA-3809-PHX-LAX
2112.actarrtime,2:29 a.m.,12:29 a.m.
551.schedarrtime,6:46t p.m.,6:46 p.m.
1642.actdeptime,m7:22 a.m.,7:22 a.m.
60.schedarrtime,11:19 am..,11:19 a.m.
1778.tupleid,5159,1778
2334.actarrtime,4:09 p..m,4:09 p.m.
1258.src,yrateplan,myrateplan
1427.src,O,CO
1832.tupleid,4821,1832
357.actdeptime,4:29 p.zm.,4:29 p.m.
586.actarrtime,7:5 1a.m.,7:51 a.m.
949.src,flightarrvial,flightarrival
280.scheddeptime,9:05 at.m.,9:05 a.m.
1959.scheddeptime,11:25a.m.,11:25 a.m.
2150.flight,AA-22-LAX-BOS,AA-222-LAX-BOS
1775.scheddeptime,9:05a.m.,9:05 a.m.
443.actarrtime,10:y30 p.m.,10:30 p.m.
2325.schedarrtime,10d:30 p.m.,10:30 p.m.
59.flight,AA-3468-CVG-MIA,AA-1544-SAN-ORD
27.tupleid,1.0,27
2187.scheddeptime,1:00p.m.,1:00 p.m.
890.scheddeptime,2:35 .pm.,2:35 p.m.
722.flight,sCO-50-CLE-EWR,CO-50-CLE-EWR
975.scheddeptime,11:05 a..m,11:05 a.m.
378.actarrtime,5:34 pv.m.,5:34 p.m.
694.scheddeptime,6:59 oa.m.,6:59 a.m.
1856.actarrtime,6:19 ae.m.,6:19 a.m.
1184.schedarrtime,12:y10 p.m.,12:10 p.m.
723.src,panyj,panynj
282.actarrtime,1:15 pm..,1:15 p.m.
932.schedarrtime,3:15p.m.,3:15 p.m.
598.actarrtime,5:0 a.m.,5:50 a.m.
1193.actarrtime,12:2o1 a.m.,12:21 a.m.
1696.actdeptime,7:15 .m.,7:15 p.m.
1096.schedarrtime,:17 p.m.,1:17 p.m.
189.scheddeptime,7:10p .m.,7:10 p.m.
1538.actdeptime,7:30a.m.,7:30 a.m.
1206.flight,CxO-4888-IAH-DAL,CO-4888-IAH-DAL
254.flight,UA-3925-IADO-RF,UA-3925-IAD-ORF
811.src,mo,mco
225.schedarrtime,9:20p.m.,9:20 p.m.
2053.src,businesstravmellogue,businesstravellogue
1199.flight,UA-646-ORD-PHL,UA-664-ORD-PHL
1902.schedarrtime,9:10p .m.,9:10 p.m.
603.actarrtime,0:04 a.m.,10:04 a.m.
1112.src,foxbusinss,foxbusiness
1979.tupleid,4087,1979
1015.tupleid,3929,1015
167.scheddeptime,9:05 a..m,9:05 a.m.
1900.schedarrtime,0:35 a.m.,10:35 a.m.
1211.actarrtime,11:06 a.m.***,11:06 a.m.
1374.actdeptime,5:08 p.mo.,5:08 p.m.
1809.schedarrtime,805 p.m.,8:05 p.m.
2330.actdeptime,4:00 .pm.,4:00 p.m.
2306.actarrtime,k5:11 a.m.,5:11 a.m.
1093.src,foxbusienss,foxbusiness
1977.tupleid,-1383,1977
1704.actarrtime,4:23p.m.,4:23 p.m.
1539.actdeptime,5:08 pm.,5:08 p.m.
580.scheddeptime,80:5 a.m.,8:05 a.m.
703.schedarrtime,1:40 p.km.,1:40 p.m.
695.schedarrtime,11:5 0a.m.,11:50 a.m.
11.schedarrtime,2:02 p.m.,2:20 p.m.
1854.actdeptime,6:75 a.m.,6:57 a.m.
58.tupleid,16.0,58
1356.actdeptime,7:4k9 a.m.,7:49 a.m.
74.tupleid,6.0,74
2267.scheddeptime,11:50 a..,11:50 a.m.
1037.scheddeptime,425 p.m.,4:25 p.m.
1318.src,ymrateplan,myrateplan
247.actarrtime,6:36 p.mq.,6:36 p.m.
86.tupleid,2.0,86
691.actarrtime,12:29 a.mx.,12:29 a.m.
421.src,airtravelceter,airtravelcenter
249.flight,AA-59-FK-SFO,AA-59-JFK-SFO
1637.scheddeptime,6:45 .am.,6:45 a.m.
1889.actdeptime,8:04 a.mo.,8:04 a.m.
2021.schedarrtime,5j:11 a.m.,5:11 a.m.
1622.schedarrtime,11:5 a.m.,11:50 a.m.
870.src,flighs,flights
2185.scheddeptime,8:40 .am.,8:40 a.m.
86.actdeptime,:26 p.m.,2:26 p.m.
2091.flight,UA-248-PHX-OeRD,UA-248-PHX-ORD
2353.flight,U-2906-PHL-MCO,UA-2906-PHL-MCO
699.scheddeptime,7:35 a..m,7:35 a.m.
2142.scheddeptime,7:25 a..m,7:25 a.m.
2204.actdeptime,6:56 ad.m.,6:56 a.m.
899.schedarrtime,s8:00 a.m.,8:00 a.m.
1686.flight,CO-63-EWR-IApH,CO-63-EWR-IAH
599.scheddeptime,4:25t p.m.,4:25 p.m.
579.schedarrtime,10:d35 a.m.,10:35 a.m.
1606.scheddeptime,9:05 a.mo.,9:05 a.m.
831.flight,AA-484-DbFW-MIA,AA-484-DFW-MIA
1343.flight,A-484-DFW-MIA,AA-484-DFW-MIA
768.tupleid,5125,768
913.src,flightarrgival,flightarrival
2001.scheddeptime,:455 p.m.,4:55 p.m.
1443.flight,CO-5-EWR-MIA,CO-45-EWR-MIA
1186.tupleid,-1314,1186
784.src,flifghtexplorer,flightexplorer
1310.schedarrtime,2:3 p.m.,2:35 p.m.
2336.flight,UA-300-PHX-CLT,UA-3050-PHX-CLT
77.scheddeptime,:600 a.m.,6:00 a.m.
653.tupleid,4623,653
2229.flight,UA-270-DTW-PHX,UA-2704-DTW-PHX
18.flight,AA-431-MIA-SFO,AA-2525-DFW-MIA
447.tupleid,4312,447
1403.actarrtime,1106 a.m.,11:06 a.m.
2068.schedarrtime,10:06 az.m.,10:06 a.m.
2335.schedarrtime,9:20a.m.,9:20 a.m.
1656.schedarrtime,5:1z1 a.m.,5:11 a.m.
2072.schedarrtime,7:3 p.m.,7:03 p.m.
548.src,filghtstats,flightstats
68.flight,AA-484-DFW-MIA,UA-3515-IAD-MSP
1520.scheddeptime,7o:53 a.m.,7:53 a.m.
28.tupleid,4.0,28
1646.schedarrtime,:910 p.m.,9:10 p.m.
1978.scheddeptime,c11:05 a.m.,11:05 a.m.
206.tupleid,-1336,206
1675.src,wundergroound,wunderground
588.scheddeptime,4:55p.m.,4:55 p.m.
1436.actdeptime,2f:48 p.m.,2:48 p.m.
1238.src,myerateplan,myrateplan
1223.src,usatodya,usatoday
1184.scheddeptime,10:15 a..m,10:15 a.m.
920.flight,AA-3468-CVG-MIdA,AA-3468-CVG-MIA
567.tupleid,4171,567
55.flight,AA-518-MIA-JFK,UA-3925-IAD-ORF
1028.scheddeptime,q9:15 a.m.,9:15 a.m.
634.actdeptime,8:42 a..m,8:42 a.m.
1937.tupleid,-1241,1937
2303.actarrtime,10:04s a.m.,10:04 a.m.
55.src,elloflight,helloflight
74.flight,AA-1733-ORD-PHX,UA-2314-ATL-PHL
347.actdeptime,10:33 am..,10:33 a.m.
1893.src,quicktruip,quicktrip
1459.actdeptime,11:32 .m.,11:32 a.m.
641.schedarrtime,72:3 a.m.,7:23 a.m.
1703.scheddeptime,10:40 am..,10:40 a.m.
1272.flight,OC-1193-EWR-MCO,CO-1193-EWR-MCO
82.tupleid,2.0,82
1700.actarrtime,:55 p.m.,7:55 p.m.
149.scheddeptime,710 a.m.,7:10 a.m.
301.schedarrtime,4:31 p..m,4:31 p.m.
1658.flight,UA-248-PHXO-RD,UA-248-PHX-ORD
335.schedarrtime,64:0 a.m.,6:40 a.m.
1566.actarrtime,7:0 p.m.,7:10 p.m.
393.src,irtravelcenter,airtravelcenter
1568.actarrtime,3:4t3 p.m.,3:43 p.m.
1857.actdeptime,7:39 a..m,7:39 a.m.
1657.schedarrtime,24:5 p.m.,2:45 p.m.
1729.actdeptime,8:42 a..m,8:42 a.m.
1368.flight,AA-4307-OR-DTW,AA-4307-ORD-DTW
2145.tupleid,3673,2145
2280.schedarrtime,8:k22 p.m.,8:22 p.m.
201.actdeptime,5:08p .m.,5:08 p.m.
1092.scheddeptime,2:3q0 p.m.,2:30 p.m.
2323.schedarrtime,9:25 a..m,9:25 a.m.
1185.src,usatodaoy,usatoday
539.tupleid,5183,539
274.flight,CO-1088-CLE-IaAH,CO-1088-CLE-IAH
1110.schedarrtime,2:45 p.vm.,2:45 p.m.
203.actarrtime,7:36p .m.,7:36 p.m.
2183.tupleid,-1333,2183
133.scheddeptime,7:15 am.,7:15 a.m.
20.tupleid,16.0,20
71.tupleid,33.0,71
1303.flight,UA-150-IAH-GUA,UA-1500-IAH-GUA
1960.schedarrtime,11:19 a.vm.,11:19 a.m.
2223.scheddeptime,1:30p.m.,1:30 p.m.
1759.flight,AA-3859-IAH-OmRD,AA-3859-IAH-ORD
131.flight,AA-380-PHL-ORD,AA-3804-PHL-ORD
62.tupleid,18.0,62
98.tupleid,11.0,98
79.actarrtime,10:27 a..,10:27 a.m.
38.scheddeptime,8:20p .m.,8:20 p.m.
69.tupleid,10.0,69
11.actdeptime,10:55 a..m,10:55 a.m.
15.flight,AA-3756-ORD-SLC,AA-1279-DFW-PHX
396.scheddeptime,01:40 a.m.,10:40 a.m.
716.actarrtime,6:43 .pm.,6:43 p.m.
222.flight,CO-4888-AIH-DAL,CO-4888-IAH-DAL
363.actarrtime,1:14 pm.,1:14 p.m.
246.scheddeptime,6:45 aa.m.,6:45 a.m.
1187.actdeptime,2:35 p.m.,12:35 p.m.
173.tupleid,-1277,173
1740.flight,UA-2o906-PHL-MCO,UA-2906-PHL-MCO
305.src,wemather,weather
76.flight,AA-1640-MIA-MCO,CO-1023-IAH-DEN
227.schedarrtime,7:03 pp.m.,7:03 p.m.
87.tupleid,11.0,87
1614.src,mytripanmdore,mytripandmore
1975.scheddeptime,1:150 a.m.,11:50 a.m.
1952.actdeptime,7:41 p.m.,7:14 p.m.
1236.scheddeptime,12:30 .m.,12:30 a.m.
322.actarrtime,1:4a3 p.m.,1:43 p.m.
108.actdeptime,7:05a .m.,7:05 a.m.
61.tupleid,7.0,61
1042.src,tryavelocity,travelocity
1784.actarrtime,1:14 p..m,1:14 p.m.
322.scheddeptime,2:10 p.m.,12:10 p.m.
1488.schedarrtime,:40 a.m.,9:40 a.m.
1319.src,myratmeplan,myrateplan
244.actdeptime,11:5f5 a.m.,11:55 a.m.
2267.tupleid,-1338,2267
439.flight,CO-158-IAH-MCO,CO-1586-IAH-MCO
288.actarrtime,8:53 pm.,8:53 p.m.
1901.src,quicktip,quicktrip
222.schedarrtime,6:40w p.m.,6:40 p.m.
1459.flight,CO-58-iDEN-IAH,CO-58-DEN-IAH
38.flight,AA-1664-MIA-ATL,AA-3063-SLC-LAX
2151.actdeptime,11:32 a..,11:32 a.m.
217.schedarrtime,92:4 a.m.,9:24 a.m.
1138.src,fpoxbusiness,foxbusiness
1113.scheddeptime,:15 a.m.,7:15 a.m.
1251.src,myrateplna,myrateplan
1614.actdeptime,7:39a.m.,7:39 a.m.
1143.scheddeptime,1:4q5 p.m.,1:45 p.m.
743.tupleid,3891,743
1264.schedarrtime,5:15 p.gm.,5:15 p.m.
83.tupleid,16.0,83
430.src,airtravelcenteur,airtravelcenter
2316.actdeptime,7:31 a..,7:31 a.m.
1595.src,mytrpandmore,mytripandmore
1866.scheddeptime,6:3 0p.m.,6:30 p.m.
394.flight,CO-16L-AX-EWR,CO-16-LAX-EWR
214.scheddeptime,825 p.m.,8:25 p.m.
2220.actarrtime,10:04a .m.,10:04 a.m.
2042.actdeptime,7:39 am.,7:39 a.m.
965.tupleid,4765,965
846.scheddeptime,11:k45 a.m.,11:45 a.m.
1547.src,flytoecomm,flytecomm
617.src,rflightstats,flightstats
1939.actdeptime,1:i19 p.m.,1:19 p.m.
1140.flight,UA-6273-YC-SFO,UA-6273-YYC-SFO
569.schedarrtime,2:35p .m.,2:35 p.m.
1709.flight,AA-1165-JFK-MA,AA-1165-JFK-MIA
832.schedarrtime,2:20 p..m,2:20 p.m.
2320.flight,AA-380-PHX-LAX,AA-3809-PHX-LAX
1398.src,oritz,orbitz
186.tupleid,4710,186
1758.schedarrtime,6:15 p..,6:15 p.m.
211.actarrtime,5:05 a.m.,5:50 a.m.
181.flight,iAA-1664-MIA-ATL,AA-1664-MIA-ATL
1721.actdeptime,4:12 po.m.,4:12 p.m.
1310.flight,AA-789-ORD-EDN,AA-789-ORD-DEN
399.flight,UA-37-ER-MCO,UA-37-EWR-MCO
1030.actdeptime,7:30 am.,7:30 a.m.
325.scheddeptime,1:05 p.sm.,1:05 p.m.
1431.scheddeptime,715 p.m.,7:15 p.m.
1405.flight,AA-2957-DFW-kCVG,AA-2957-DFW-CVG
1755.scheddeptime,90:5 a.m.,9:05 a.m.
1791.tupleid,-1391,1791
922.scheddeptime,60:0 a.m.,6:00 a.m.
1556.src,flytecopmm,flytecomm
2299.src,flightawjare,flightaware
156.src,oston,boston
40.flight,AA-466-IAH-MIA,AA-1917-JFK-MCO
89.tupleid,7.0,89
2213.flight,UA-664-ORD-HL,UA-664-ORD-PHL
1142.actarrtime,6:40 pm.,6:40 p.m.
2015.scheddeptime,6:59 am.,6:59 a.m.
140.src,hellflight,helloflight
1649.flight,AA-756-ORD-SLC,AA-3756-ORD-SLC
1495.scheddeptime,11:25 .am.,11:25 a.m.
431.schedarrtime,6:17 p..m,6:17 p.m.
1427.schedarrtime,10x:15 p.m.,10:15 p.m.
650.src,paynnj,panynj
840.schedarrtime,102:0 a.m.,10:20 a.m.
36.tupleid,23.0,36
1382.src,obrbitz,orbitz
1629.flight,UA-o6273-YYC-SFO,UA-6273-YYC-SFO
1026.flight,CO-i1694-LAX-IAH,CO-1694-LAX-IAH
1260.actarrtime,1:5 p.m.,1:15 p.m.
1010.flight,CO-89-IAH-EpWR,CO-89-IAH-EWR
763.src,flightexplorre,flightexplorer
2120.src,busirnesstravellogue,businesstravellogue
2242.src,gxofox,gofox
2188.actdeptime,7:49 a..,7:49 a.m.
1763.flight,UA-3295-IAD-ORF,UA-3925-IAD-ORF
1651.actdeptime,11:5 p.m.,11:55 p.m.
248.tupleid,4167,248
1513.src,flyteocmm,flytecomm
624.actdeptime,3:31 pm..,3:31 p.m.
2220.actdeptime,7:22 am.,7:22 a.m.
2247.flight,AA-2525o-DFW-MIA,AA-2525-DFW-MIA
1936.actarrtime,5:43 pm.,5:43 p.m.
995.actdeptime,i6:30 p.m.,6:30 p.m.
2023.schedarrtime,8:27 .m.,8:27 a.m.
1358.src,oribitz,orbitz
1575.flight,AA-415-BOS-RD,AA-415-BOS-ORD
2312.scheddeptime,12:10 p..m,12:10 p.m.
1961.actdeptime,1:125 p.m.,11:25 p.m.
2010.actarrtime,4:d17 p.m.,4:17 p.m.
1529.src,flytecomm***,flytecomm
43.tupleid,4.0,43
1372.actdeptime,6:5s6 a.m.,6:56 a.m.
1917.actarrtime,4:23p.m.,4:23 p.m.
2311.actdeptime,7:22 za.m.,7:22 a.m.
2150.schedarrtime,3:30 mp.m.,3:30 p.m.
655.actdeptime,11:56 .am.,11:56 a.m.
2175.src,ggofox,gofox
2325.flight,A-A1733-ORD-PHX,AA-1733-ORD-PHX
873.scheddeptime,4:25 p..m,4:25 p.m.
2259.schedarrtime,9:54 a.my.,9:54 a.m.
1326.flight,AA-518-MuIA-JFK,AA-518-MIA-JFK
320.scheddeptime,7:15 au.m.,7:15 a.m.
49.tupleid,6.0,49
1599.scheddeptime,u2:30 p.m.,2:30 p.m.
2305.flight,AA-649-ORDSNA,AA-649-ORD-SNA
1959.actarrtime,:31 p.m.,3:31 p.m.
976.actarrtime,9:3 a.m.,9:43 a.m.
746.actarrtime,1:41 p.m.,1:14 p.m.
1148.actdeptime,9:16 .m.,9:16 a.m.
347.scheddeptime,10:39 a..m,10:39 a.m.
24.flight,AA-3468-CVG-MIA,AA-4307-ORD-DTW
1070.scheddeptime,7:10 a..,7:10 a.m.
2372.actarrtime,h5:38 p.m.,5:38 p.m.
911.src,flihts,flights
1448.actarrtime,:119 p.m.,1:19 p.m.
883.src,eflights,flights
149.src,hellofligth,helloflight
2308.actarrtime,9:2 p.m.,9:20 p.m.
1779.schedarrtime,:20 p.m.,2:20 p.m.
661.actarrtime,3:30 tp.m.,3:30 p.m.
713.scheddeptime,9:05a .m.,9:05 a.m.
1153.src,ofxbusiness,foxbusiness
29.flight,AA-484-DFW-MIA,AA-1221-MCO-ORD
2072.tupleid,-1473,2072
1219.src,usatodya,usatoday
1186.actarrtime,2:05 p.m.,2:50 p.m.
1220.flight,A-1544-SAN-ORD,AA-1544-SAN-ORD
1518.tupleid,3716,1518
632.actdeptime,6:45 a.m.,6:54 a.m.
173.scheddeptime,8:05 a..m,8:05 a.m.
2115.actarrtime,1004 a.m.,10:04 a.m.
2104.src,businesstravellogrue,businesstravellogue
1192.actarrtime,8:53 pm.,8:53 p.m.
1747.tupleid,4571,1747
926.src,flgihtarrival,flightarrival
414.actarrtime,9:2 0p.m.,9:20 p.m.
252.src,weathr,weather
1841.flight,AA-2957-DFpW-CVG,AA-2957-DFW-CVG
823.scheddeptime,6:00a.m.,6:00 a.m.
2275.src,flightawae,flightaware
1510.actdeptime,:800 a.m.,8:00 a.m.
1500.actdeptime,1:41 a.m.,12:41 a.m.
56.flight,AA-3756-ORD-SLC,AA-1733-ORD-PHX
2242.schedarrtime,:30 p.m.,6:30 p.m.
383.scheddeptime,12:00p .m.,12:00 p.m.
1005.actdeptime,4:c29 p.m.,4:29 p.m.
642.schedarrtime,5:3w5 a.m.,5:35 a.m.
377.tupleid,4544,377
1418.flight,AA-404MIA-MCO,AA-404-MIA-MCO
1524.actarrtime,:15 p.m.,1:15 p.m.
1047.src,travelociyt,travelocity
1758.flight,UA-257s-JFK-SFO,UA-257-JFK-SFO
496.scheddeptime,12:15 pm..,12:15 p.m.
458.actarrtime,1:40p.m.,1:40 p.m.
284.schedarrtime,2:25b p.m.,2:25 p.m.
1841.actdeptime,8:04 am..,8:04 a.m.
1777.actdeptime,7:5 a.m.,7:25 a.m.
1193.scheddeptime,7:15 p.qm.,7:15 p.m.
1486.src,qsfo,sfo
2298.tupleid,-1272,2298
105.tupleid,23.0,105
1737.tupleid,3792,1737
259.flight,bAA-1544-SAN-ORD,AA-1544-SAN-ORD
1919.tupleid,3883,1919
367.schedarrtime,10:54 a.mg.,10:54 a.m.
1034.actarrtime,3:04 pe.m.,3:04 p.m.
34.tupleid,3.0,34
474.flight,UAe-2945-PHL-CLT,UA-2945-PHL-CLT
489.schedarrtime,6:23p.m.,6:23 p.m.
803.src,dw,dfw
1832.actdeptime,11:15 a.mm.,11:15 a.m.
834.scheddeptime,8:z05 a.m.,8:05 a.m.
465.schedarrtime,:57 p.m.,4:57 p.m.
1656.src,od,ord
1063.tupleid,4818,1063
1190.actarrtime,5:34 pm..,5:34 p.m.
808.scheddeptime,1:25 p.m.,11:25 p.m.
369.scheddeptime,:100 p.m.,1:00 p.m.
1597.flight,CO-1090-BOS-IHA,CO-1090-BOS-IAH
35.flight,AA-3756-ORD-SLC,AA-1165-JFK-MIA
997.actarrtime,5:7 p.m.,5:17 p.m.
35.tupleid,38.0,35
1311.actarrtime,10:16 am.,10:16 a.m.
130.actarrtime,11:5t6 a.m.,11:56 a.m.
1815.src,flylouisvillve,flylouisville
1936.src,quiktrip,quicktrip
174.actarrtime,4:g47 p.m.,4:47 p.m.
1247.actdeptime,2:55 pf.m.,2:55 p.m.
352.scheddeptime,7:53 a.m.,7:35 a.m.
39.tupleid,10.0,39
2156.scheddeptime,7:10a.m.,7:10 a.m.
1326.actarrtime,92:8 a.m.,9:28 a.m.
1216.actdeptime,1:u19 p.m.,1:19 p.m.
843.flight,AA-127-DFW-PHX,AA-1279-DFW-PHX
1467.actarrtime,5:t38 p.m.,5:38 p.m.
1539.tupleid,4618,1539
2237.tupleid,4611,2237
971.src,flightwkise,flightwise
55.tupleid,9.0,55
639.actarrtime,11:21 .am.,11:21 a.m.
1155.flight,AA-789-ORD-EDN,AA-789-ORD-DEN
908.actdeptime,3:85 p.m.,3:58 p.m.
434.actdeptime,3:58 p.zm.,3:58 p.m.
1672.actarrtime,1:27 .pm.,1:27 p.m.
93.schedarrtime,1:35 a.m.,10:35 a.m.
1586.actarrtime,1:12 a.m.,11:12 a.m.
746.src,fligahtexplorer,flightexplorer
67.tupleid,38.0,67
1621.actarrtime,1004 a.m.,10:04 a.m.
876.actarrtime,10:04a.m.,10:04 a.m.
21.actdeptime,11:0 a.m.,11:05 a.m.
1576.src,flyteocomm,flytecomm
996.src,traveloicty,travelocity
1489.flight,CzO-1586-IAH-MCO,CO-1586-IAH-MCO
1312.scheddeptime,3:0f5 p.m.,3:05 p.m.
1144.src,foxusiness,foxbusiness
1178.scheddeptime,7:h00 a.m.,7:00 a.m.
49.flight,AA-1640-MIA-MCO,AA-3809-PHX-LAX
595.actarrtime,:04 p.m.,3:04 p.m.
1133.actarrtime,12:15 a..m,12:15 a.m.
1290.actarrtime,10:04m a.m.,10:04 a.m.
94.tupleid,6.0,94
971.scheddeptime,6:0 a.m.,6:00 a.m.
1264.src,mryateplan,myrateplan
1150.flight,AA1917-JFK-MCO,AA-1917-JFK-MCO
146.src,elloflight,helloflight
2315.src,flrightaware,flightaware
2001.actdeptime,5:08 p.qm.,5:08 p.m.
165.src,oston,boston
1046.src,travelocicty,travelocity
753.tupleid,-1362,753
473.tupleid,-1417,473
2017.src,alegiantair,allegiantair
867.flight,A-2515-DFW-CLT,UA-2515-DFW-CLT
2366.tupleid,4987,2366
2363.tupleid,4416,2363
99.tupleid,7.0,99
42.flight,AA-3859-IAH-ORD,AA-4277-CVG-JFK
2137.flight,pAA-85-JFK-SFO,AA-85-JFK-SFO
798.actarrtime,3:21 pm.,3:21 p.m.
411.flight,CO-4e888-IAH-DAL,CO-4888-IAH-DAL
2031.tupleid,-1448,2031
887.scheddeptime,2:55 mp.m.,2:55 p.m.
365.scheddeptime,11:05 a..,11:05 a.m.
574.scheddeptime,7:10 sp.m.,7:10 p.m.
1571.flight,AA-427-CVG-JFK,AA-4277-CVG-JFK
573.flight,UA-2945-PHL-CLcT,UA-2945-PHL-CLT
2367.flight,A-4277-CVG-JFK,AA-4277-CVG-JFK
193.flight,A-1434-DFW-MCO,AA-1434-DFW-MCO
1069.tupleid,-1481,1069
156.flight,AA-1733-OR-PHX,AA-1733-ORD-PHX
1292.actarrtime,9:13 ae.m.,9:13 a.m.
1426.src,hl,phl
1390.tupleid,-1328,1390
229.actdeptime,2:44 .pm.,2:44 p.m.
183.tupleid,-1356,183
792.scheddeptime,:10 a.m.,7:10 a.m.
796.src,mfia,mia
1737.schedarrtime,1006 a.m.,10:06 a.m.
272.schedarrtime,4:57 .pm.,4:57 p.m.
788.actdeptime,7:31 am.,7:31 a.m.
67.flight,AA-446-DFW-PHL,AA-616-DFW-DTW
1408.schedarrtime,10:04 a.m.,10:40 a.m.
838.src,filghts,flights
1824.actdeptime,8:1 a.m.,8:51 a.m.
1639.actdeptime,6:56 a..,6:56 a.m.
2258.schedarrtime,10:15 p..m,10:15 p.m.
180.src,mboston,boston
1663.schedarrtime,9:25 ay.m.,9:25 a.m.
33.flight,AA-616-DFW-DTW,AA-3823-LAX-DEN
1456.actarrtime,4i:23 p.m.,4:23 p.m.
245.actarrtime,12:5 0p.m.,12:50 p.m.
675.src,panyjn,panynj
936.actarrtime,7:36 pt.m.,7:36 p.m.
2213.actdeptime,:31 p.m.,1:31 p.m.
53.tupleid,18.0,53
8.tupleid,4.0,8
2250.actdeptime,105:4 a.m.,10:54 a.m.
2089.scheddeptime,7:10 pm.,7:10 p.m.
2167.flight,UA4-14-LAX-SFO,UA-414-LAX-SFO
527.scheddeptime,4:00 pm..,4:00 p.m.
2016.actdeptime,8:51 .m.,8:51 a.m.
5.tupleid,2.0,5
1306.src,myateplan,myrateplan
1808.scheddeptime,7:10a .m.,7:10 a.m.
1823.actarrtime,c10:04 a.m.,10:04 a.m.
1879.flight,CO-62-IA-HEWR,CO-62-IAH-EWR
75.tupleid,23.0,75
304.schedarrtime,12:15 a..,12:15 a.m.
1618.scheddeptime,4:w25 p.m.,4:25 p.m.
