state_county,state,statefips,cntyfips,county,county_two,fips,fips_two,perc_viol,Label
FL Dixie,FL,12,29,Dixie ,Dixie ,12029,f12029,0.0,0
FL Duval,FL,12,31,Duval ,Duval ,12031,f12031,0.0,0
FL Escambia,FL,12,33,Escambia ,Escambia ,12033,f12033,0.0,0
FL Flagler,FL,12,35,Flagler ,Flagler ,12035,f12035,0.0,0
FL Franklin,FL,12,37,Franklin ,Franklin ,12037,f12037,0.0,0
FL Gadsden,FL,12,39,Gadsden ,Gadsden ,12039,f12039,0.0,0
FL Gilchrist,FL,12,41,Gilchrist ,Gilchrist ,12041,f12041,0.0,0
FL Glades,FL,12,43,Glades ,Glades ,12043,f12043,0.0,0
FL Gulf,FL,12,45,Gulf ,Gulf ,12045,f12045,0.0,0
FL Hamilton,FL,12,47,Hamilton ,Hamilton ,12047,f12047,0.0,0
FL Hardee,FL,12,49,Hardee ,Hardee ,12049,f12049,0.0,0
FL Hendry,FL,12,51,Hendry ,Hendry ,12051,f12051,0.0,0
FL Hernando,FL,12,53,Hernando ,Hernando ,12053,f12053,0.0,0
FL Highlands,FL,12,55,Highlands ,Highlands ,12055,f12055,0.0,0
FL Hillsborough,FL,12,57,Hillsborough ,Hillsborough ,12057,f12057,0.0,0
FL Holmes,FL,12,59,Holmes ,Holmes ,12059,f12059,0.0,0
FL Indian River,FL,12,61,Indian River ,Indian River ,12061,f12061,0.0,0
FL Jackson,FL,12,63,Jackson ,Jackson ,12063,f12063,0.0,0
FL Jefferson,FL,12,65,Jefferson ,Jefferson ,12065,f12065,0.0,0
FL Lafayette,FL,12,67,Lafayette ,Lafayette ,12067,f12067,0.0,0
FL Lake,FL,12,69,Lake ,Lake ,12069,f12069,0.0,0
FL Lee,FL,12,71,Lee ,Lee ,12071,f12071,0.0,0
FL Leon,FL,12,73,Leon ,Leon ,12073,f12073,0.0,0
FL Levy,FL,12,75,Levy ,Levy ,12075,f12075,0.0,0
FL Liberty,FL,12,77,Liberty ,Liberty ,12077,f12077,0.0,0
FL Madison,FL,12,79,Madison ,Madison ,12079,f12079,0.0,0
FL Manatee,FL,12,81,Manatee ,Manatee ,12081,f12081,0.0,0
FL Marion,FL,12,83,Marion ,Marion ,12083,f12083,0.0,0
FL Martin,FL,12,85,Martin ,Martin ,12085,f12085,0.0,0
FL Miami Dade,FL,12,86,Miami Dade ,Miami Dade ,12086,f12086,0.0,0
FL Monroe,FL,12,87,Monroe ,Monroe ,12087,f12087,0.0,0
FL Nassau,FL,12,89,Nassau ,Nassau ,12089,f12089,0.0,0
FL Okaloosa,FL,12,91,Okaloosa ,Okaloosa ,12091,f12091,0.0,0
FL Okeechobee,FL,12,93,Okeechobee ,Okeechobee ,12093,f12093,0.0,0
FL Orange,FL,12,95,Orange ,Orange ,12095,f12095,0.0,0
FL Osceola,FL,12,97,Osceola ,Osceola ,12097,f12097,0.0,0
FL Palm Beach,FL,12,99,Palm Beach ,Palm Beach ,12099,f12099,0.0,0
FL Pasco,FL,12,101,Pasco ,Pasco ,12101,f12101,0.0,0
FL Pinellas,FL,12,103,Pinellas ,Pinellas ,12103,f12103,0.0,0
FL Polk,FL,12,105,Polk ,Polk ,12105,f12105,0.0,0
FL Putnam,FL,12,107,Putnam ,Putnam ,12107,f12107,0.0,0
FL Santa Rosa,FL,12,113,Santa Rosa ,Santa Rosa ,12113,f12113,0.0,0
FL Sarasota,FL,12,115,Sarasota ,Sarasota ,12115,f12115,0.0,0
FL Seminole,FL,12,117,Seminole ,Seminole ,12117,f12117,0.0,0
FL St. Johns,FL,12,109,St. Johns ,St. Johns ,12109,f12109,0.0,0
FL St. Lucie,FL,12,111,St. Lucie ,St. Lucie ,12111,f12111,0.0,0
FL Sumter,FL,12,119,Sumter ,Sumter ,12119,f12119,0.0,0
FL Suwannee,FL,12,121,Suwannee ,Suwannee ,12121,f12121,0.0,0
FL Taylor,FL,12,123,Taylor ,Taylor ,12123,f12123,0.0,0
FL Union,FL,12,125,Union ,Union ,12125,f12125,0.0,0
FL Volusia,FL,12,127,Volusia ,Volusia ,12127,f12127,0.0,0
FL Wakulla,FL,12,129,Wakulla ,Wakulla ,12129,f12129,0.0,0
FL Walton,FL,12,131,Walton ,Walton ,12131,f12131,0.0,0
FL Washington,FL,12,133,Washington ,Washington ,12133,f12133,0.0,0
GA Appling,GA,13,1,Appling ,Appling ,13001,f13001,0.0,0
GA Atkinson,GA,13,3,Atkinson ,Atkinson ,13003,f13003,0.0,0
GA Bacon,GA,13,5,Bacon ,Bacon ,13005,f13005,0.0,0
GA Baker,GA,13,7,Baker ,Baker ,13007,f13007,0.0,0
GA Baldwin,GA,13,9,Baldwin ,Baldwin ,13009,f13009,0.0,0
GA Banks,GA,13,11,Banks ,Banks ,13011,f13011,0.0,0
GA Barrow,GA,13,13,Barrow ,Barrow ,13013,f13013,0.0,0
GA Bartow,GA,13,15,Bartow ,Bartow ,13015,f13015,0.0,0
GA Ben Hill,GA,13,17,Ben Hill ,Ben Hill ,13017,f13017,0.0,0
GA Berrien,GA,13,19,Berrien ,Berrien ,13019,f13019,0.0,0
GA Bibb,GA,13,21,Bibb ,Bibb ,13021,f13021,0.0,0
GA Bleckley,GA,13,23,Bleckley ,Bleckley ,13023,f13023,0.0,0
GA Brantley,GA,13,25,Brantley ,Brantley ,13025,f13025,0.0,0
GA Brooks,GA,13,27,Brooks ,Brooks ,13027,f13027,0.0,0
GA Bryan,GA,13,29,Bryan ,Bryan ,13029,f13029,0.0,0
GA Bulloch,GA,13,31,Bulloch ,Bulloch ,13031,f13031,0.0,0
GA Burke,GA,13,33,Burke ,Burke ,13033,f13033,0.0,0
GA Butts,GA,13,35,Butts ,Butts ,13035,f13035,0.0,0
GA Calhoun,GA,13,37,Calhoun ,Calhoun ,13037,f13037,0.0,0
GA Camden,GA,13,39,Camden ,Camden ,13039,f13039,0.0,0
GA Candler,GA,13,43,Candler ,Candler ,13043,f13043,0.0,0
GA Carroll,GA,13,45,Carroll ,Carroll ,13045,f13045,0.0,0
GA Catoosa,GA,13,47,Catoosa ,Catoosa ,13047,f13047,0.0,0
GA Charlton,GA,13,49,Charlton ,Charlton ,13049,f13049,0.0,0
GA Chatham,GA,13,51,Chatham ,Chatham ,13051,f13051,0.0,0
GA Chattahoochee,GA,13,53,Chattahoochee ,Chattahoochee ,13053,f13053,0.0,0
GA Chattooga,GA,13,55,Chattooga ,Chattooga ,13055,f13055,0.0,0
GA Cherokee,GA,13,57,Cherokee ,Cherokee ,13057,f13057,0.0,0
GA Clarke,GA,13,59,Clarke ,Clarke ,13059,f13059,0.0,0
GA Clay,GA,13,61,Clay ,Clay ,13061,f13061,0.0,0
GA Clayton,GA,13,63,Clayton ,Clayton ,13063,f13063,0.0,0
GA Clinch,GA,13,65,Clinch ,Clinch ,13065,f13065,0.0,0
GA Cobb,GA,13,67,Cobb ,Cobb ,13067,f13067,0.0,0
GA Coffee,GA,13,69,Coffee ,Coffee ,13069,f13069,0.0,0
GA Colquitt,GA,13,71,Colquitt ,Colquitt ,13071,f13071,0.0,0
GA Columbia,GA,13,73,Columbia ,Columbia ,13073,f13073,0.0,0
GA Cook,GA,13,75,Cook ,Cook ,13075,f13075,0.0,0
GA Coweta,GA,13,77,Coweta ,Coweta ,13077,f13077,0.0,0
GA Crawford,GA,13,79,Crawford ,Crawford ,13079,f13079,0.0,0
GA Crisp,GA,13,81,Crisp ,Crisp ,13081,f13081,0.0,0
GA Dade,GA,13,83,Dade ,Dade ,13083,f13083,0.0,0
GA Dawson,GA,13,85,Dawson ,Dawson ,13085,f13085,0.0,0
GA Decatur,GA,13,87,Decatur ,Decatur ,13087,f13087,0.0,0
GA DeKalb,GA,13,89,DeKalb ,DeKalb ,13089,f13089,0.0,0
GA Dodge,GA,13,91,Dodge ,Dodge ,13091,f13091,0.0,0
GA Dooly,GA,13,93,Dooly ,Dooly ,13093,f13093,0.0,0
GA Dougherty,GA,13,95,Dougherty ,Dougherty ,13095,f13095,0.0,0
GA Douglas,GA,13,97,Douglas ,Douglas ,13097,f13097,0.0,0
GA Early,GA,13,99,Early ,Early ,13099,f13099,0.0,0
GA Echols,GA,13,101,Echols ,Echols ,13101,f13101,0.0,0
GA Effingham,GA,13,103,Effingham ,Effingham ,13103,f13103,0.0,0
GA Elbert,GA,13,105,Elbert ,Elbert ,13105,f13105,0.0,0
GA Emanuel,GA,13,107,Emanuel ,Emanuel ,13107,f13107,0.0,0
GA Evans,GA,13,109,Evans ,Evans ,13109,f13109,0.0,0
GA Fannin,GA,13,111,Fannin ,Fannin ,13111,f13111,0.0,0
GA Fayette,GA,13,113,Fayette ,Fayette ,13113,f13113,0.0,0
GA Floyd,GA,13,115,Floyd ,Floyd ,13115,f13115,0.0,0
GA Forsyth,GA,13,117,Forsyth ,Forsyth ,13117,f13117,0.0,0
GA Franklin,GA,13,119,Franklin ,Franklin ,13119,f13119,0.0,0
GA Fulton,GA,13,121,Fulton ,Fulton ,13121,f13121,0.0,0
GA Gilmer,GA,13,123,Gilmer ,Gilmer ,13123,f13123,0.0,0
GA Glascock,GA,13,125,Glascock ,Glascock ,13125,f13125,0.0,0
GA Glynn,GA,13,127,Glynn ,Glynn ,13127,f13127,0.0,0
GA Gordon,GA,13,129,Gordon ,Gordon ,13129,f13129,0.0,0
GA Grady,GA,13,131,Grady ,Grady ,13131,f13131,0.0,0
GA Greene,GA,13,133,Greene ,Greene ,13133,f13133,0.0,0
GA Gwinnett,GA,13,135,Gwinnett ,Gwinnett ,13135,f13135,0.0,0
GA Habersham,GA,13,137,Habersham ,Habersham ,13137,f13137,0.0,0
GA Hall,GA,13,139,Hall ,Hall ,13139,f13139,0.271739130434783,0
GA Hancock,GA,13,141,Hancock ,Hancock ,13141,f13141,0.0,0
GA Haralson,GA,13,143,Haralson ,Haralson ,13143,f13143,0.0,0
GA Harris,GA,13,145,Harris ,Harris ,13145,f13145,0.0,0
GA Hart,GA,13,147,Hart ,Hart ,13147,f13147,0.0,0
GA Heard,GA,13,149,Heard ,Heard ,13149,f13149,0.0,0
GA Henry,GA,13,151,Henry ,Henry ,13151,f13151,0.0,0
GA Houston,GA,13,153,Houston ,Houston ,13153,f13153,0.0,0
GA Irwin,GA,13,155,Irwin ,Irwin ,13155,f13155,0.0,0
GA Jackson,GA,13,157,Jackson ,Jackson ,13157,f13157,0.0,0
GA Jasper,GA,13,159,Jasper ,Jasper ,13159,f13159,0.0,0
GA Jeff Davis,GA,13,161,Jeff Davis ,Jeff Davis ,13161,f13161,0.0,0
GA Jefferson,GA,13,163,Jefferson ,Jefferson ,13163,f13163,0.0,0
GA Jenkins,GA,13,165,Jenkins ,Jenkins ,13165,f13165,0.0,0
GA Johnson,GA,13,167,Johnson ,Johnson ,13167,f13167,0.0,0
GA Jones,GA,13,169,Jones ,Jones ,13169,f13169,0.0,0
GA Lamar,GA,13,171,Lamar ,Lamar ,13171,f13171,0.0,0
GA Lanier,GA,13,173,Lanier ,Lanier ,13173,f13173,0.0,0
GA Laurens,GA,13,175,Laurens ,Laurens ,13175,f13175,0.0,0
GA Lee,GA,13,177,Lee ,Lee ,13177,f13177,0.0,0
GA Liberty,GA,13,179,Liberty ,Liberty ,13179,f13179,0.0,0
GA Lincoln,GA,13,181,Lincoln ,Lincoln ,13181,f13181,0.0,0
GA Long,GA,13,183,Long ,Long ,13183,f13183,0.0,0
GA Lowndes,GA,13,185,Lowndes ,Lowndes ,13185,f13185,0.0,0
GA Lumpkin,GA,13,187,Lumpkin ,Lumpkin ,13187,f13187,0.0,0
GA Macon,GA,13,193,Macon ,Macon ,13193,f13193,0.0,0
GA Madison,GA,13,195,Madison ,Madison ,13195,f13195,0.0,0
GA Marion,GA,13,197,Marion ,Marion ,13197,f13197,0.0,0
GA McDuffie,GA,13,189,McDuffie ,McDuffie ,13189,f13189,0.0,0
GA McIntosh,GA,13,191,McIntosh ,McIntosh ,13191,f13191,0.0,0
GA Meriwether,GA,13,199,Meriwether ,Meriwether ,13199,f13199,0.0,0
GA Miller,GA,13,201,Miller ,Miller ,13201,f13201,0.0,0
GA Mitchell,GA,13,205,Mitchell ,Mitchell ,13205,f13205,0.0,0
GA Monroe,GA,13,207,Monroe ,Monroe ,13207,f13207,0.0,0
GA Montgomery,GA,13,209,Montgomery ,Montgomery ,13209,f13209,0.0,0
GA Morgan,GA,13,211,Morgan ,Morgan ,13211,f13211,0.0,0
GA Murray,GA,13,213,Murray ,Murray ,13213,f13213,0.0,0
GA Muscogee,GA,13,215,Muscogee ,Muscogee ,13215,f13215,0.0,0
GA Newton,GA,13,217,Newton ,Newton ,13217,f13217,0.0,0
GA Oconee,GA,13,219,Oconee ,Oconee ,13219,f13219,0.0,0
GA Oglethorpe,GA,13,221,Oglethorpe ,Oglethorpe ,13221,f13221,0.0,0
